Company,Date,UnixTS,Retweets,Followers,Sentiments
MSFT,2016-06-15,1465980480,24,2670,Neutral
MSFT,2016-06-15,1465979040,0,442409,Neutral
MSFT,2016-06-15,1465978740,0,72,Neutral
MSFT,2016-06-15,1465978500,0,58,Neutral
MSFT,2016-06-15,1465978440,0,102,Neutral
MSFT,2016-06-15,1465978140,0,80,Neutral
MSFT,2016-06-15,1465978080,0,2226,Neutral
MSFT,2016-06-15,1465977960,1,412,Positive
MSFT,2016-06-15,1465977840,0,136,Neutral
MSFT,2016-06-15,1465977720,0,1652,Neutral
MSFT,2016-06-15,1465977660,0,59,Negative
MSFT,2016-06-15,1465977420,0,722,Positive
MSFT,2016-06-15,1465977420,1,26363,Positive
MSFT,2016-06-15,1465977180,0,1167,Neutral
MSFT,2016-06-15,1465977180,0,1675,Neutral
MSFT,2016-06-15,1465976820,0,106,Neutral
MSFT,2016-06-15,1465976400,18,48,Neutral
MSFT,2016-06-15,1465975800,0,35045,Negative
MSFT,2016-06-15,1465975380,2,2659,Neutral
MSFT,2016-06-15,1465975320,0,53,Neutral
MSFT,2016-06-15,1465975200,0,795,Neutral
MSFT,2016-06-15,1465974780,8,952,Neutral
MSFT,2016-06-15,1465974180,0,1675,Positive
MSFT,2016-06-15,1465974000,116,26,Neutral
MSFT,2016-06-15,1465974000,6,1371,Neutral
MSFT,2016-06-15,1465973820,24,14,Neutral
MSFT,2016-06-15,1465973520,0,2935,Neutral
MSFT,2016-06-15,1465972860,683,2604,Neutral
MSFT,2016-06-15,1465972740,0,377,Neutral
MSFT,2016-06-15,1465972680,0,2767,Neutral
MSFT,2016-06-15,1465972680,0,102,Neutral
MSFT,2016-06-15,1465972260,24,183,Neutral
MSFT,2016-06-15,1465971960,2,830,Neutral
MSFT,2016-06-15,1465971660,0,71,Neutral
MSFT,2016-06-15,1465971600,0,5452,Neutral
MSFT,2016-06-15,1465971600,0,60,Neutral
MSFT,2016-06-15,1465971480,0,77,Neutral
MSFT,2016-06-15,1465971420,24,50,Neutral
MSFT,2016-06-15,1465971300,0,4597,Neutral
MSFT,2016-06-15,1465971180,0,3342,Neutral
MSFT,2016-06-15,1465971180,0,64,Neutral
MSFT,2016-06-15,1465971120,4,17503,Neutral
MSFT,2016-06-15,1465971060,4,28263,Neutral
MSFT,2016-06-15,1465970760,0,255,Neutral
MSFT,2016-06-15,1465970760,0,59,Neutral
MSFT,2016-06-15,1465970700,0,2823,Neutral
MSFT,2016-06-15,1465970460,24,165,Neutral
MSFT,2016-06-15,1465970400,0,309,Neutral
MSFT,2016-06-15,1465970400,0,405,Neutral
MSFT,2016-06-15,1465970160,65,27,Neutral
MSFT,2016-06-15,1465970040,0,714,Negative
MSFT,2016-06-15,1465970040,24,780,Neutral
MSFT,2016-06-15,1465969860,24,392,Neutral
MSFT,2016-06-15,1465969800,4,399,Neutral
MSFT,2016-06-15,1465969800,4,878,Neutral
MSFT,2016-06-15,1465969800,24,44,Neutral
MSFT,2016-06-15,1465969620,4,149,Neutral
MSFT,2016-06-15,1465969620,24,23,Neutral
MSFT,2016-06-15,1465969620,198,2017,Highly Negative
MSFT,2016-06-15,1465969560,24,2656,Neutral
MSFT,2016-06-15,1465969380,24,161,Neutral
MSFT,2016-06-15,1465969320,683,70,Neutral
MSFT,2016-06-15,1465969320,24,294,Neutral
MSFT,2016-06-15,1465969260,24,52,Neutral
MSFT,2016-06-15,1465969200,24,1464089,Neutral
MSFT,2016-06-15,1465969020,24,84757,Neutral
MSFT,2016-06-15,1465968900,24,308,Neutral
MSFT,2016-06-15,1465968840,24,1091,Neutral
MSFT,2016-06-15,1465968540,0,2226,Neutral
MSFT,2016-06-15,1465968360,1,289,Neutral
MSFT,2016-06-15,1465968360,2,289,Neutral
MSFT,2016-06-15,1465968360,1,289,Neutral
MSFT,2016-06-15,1465968360,1,289,Negative
MSFT,2016-06-15,1465968120,0,1074,Neutral
MSFT,2016-06-15,1465968060,0,711,Neutral
MSFT,2016-06-15,1465968000,1,166,Neutral
MSFT,2016-06-15,1465968000,0,6365,Neutral
MSFT,2016-06-15,1465967940,0,4,Neutral
MSFT,2016-06-15,1465967880,0,1675,Neutral
MSFT,2016-06-15,1465967700,0,302,Neutral
MSFT,2016-06-15,1465967340,24,9896,Neutral
MSFT,2016-06-15,1465967280,24,297,Neutral
MSFT,2016-06-15,1465967220,0,413,Neutral
MSFT,2016-06-15,1465967220,24,138,Neutral
MSFT,2016-06-15,1465967160,0,665,Neutral
MSFT,2016-06-15,1465967100,25,335210,Neutral
MSFT,2016-06-15,1465966740,2,120,Negative
MSFT,2016-06-15,1465966740,2,841,Negative
MSFT,2016-06-15,1465966620,0,3527,Neutral
MSFT,2016-06-15,1465966560,0,19,Neutral
