,Company,Date,UnixTS,Retweets,Followers,Sentiments
29087,GOOGL,2016-03-29,1.01,0.01,0.010652986250790518,0.1
29088,GOOGL,2016-03-29,0.9989705882352942,0.01,0.010322511501914829,0.6
29089,GOOGL,2016-03-29,0.9879411764705882,0.01,0.010466513551123715,-0.6
29090,GOOGL,2016-03-29,0.9842647058823529,0.01,0.010043134254371325,0.1
29091,GOOGL,2016-03-29,0.9677205882352942,0.29888888888888887,0.01008228688526222,0.1
29092,GOOGL,2016-03-29,0.9640441176470589,0.01,0.010093568151790105,0.1
29093,GOOGL,2016-03-29,0.9585294117647059,0.01,0.01567978589483338,0.1
29094,GOOGL,2016-03-29,0.9566911764705882,0.01,0.010401480367610023,0.1
29095,GOOGL,2016-03-29,0.9530147058823529,0.01,0.012273507007325523,0.1
29096,GOOGL,2016-03-29,0.9493382352941176,0.01,0.010368963775853179,0.1
29097,GOOGL,2016-03-29,0.9493382352941176,0.45444444444444443,0.01008228688526222,0.1
29098,GOOGL,2016-03-29,0.9438235294117647,0.01,0.010499693746793964,0.1
29099,GOOGL,2016-03-29,0.9383088235294118,0.03222222222222222,0.011110209347126563,0.1
29100,GOOGL,2016-03-29,0.9144117647058824,0.01,0.01004777948176516,0.1
29101,GOOGL,2016-03-29,0.9070588235294118,0.01,0.0105574272872602,0.6
29102,GOOGL,2016-03-29,0.8997058823529411,0.01,0.010929709082680403,0.1
29103,GOOGL,2016-03-29,0.8941911764705882,0.45444444444444443,0.01004114344263111,0.1
29104,GOOGL,2016-03-29,0.8905147058823529,0.03222222222222222,0.010502348162447583,-0.6
29105,GOOGL,2016-03-29,0.8886764705882353,0.03222222222222222,0.022835426893079474,-0.6
29106,GOOGL,2016-03-29,0.8813235294117647,0.01,0.010872639146127573,0.1
29107,GOOGL,2016-03-29,0.8739705882352942,0.01,0.011432057245127986,0.1
29108,GOOGL,2016-03-29,0.8611029411764706,0.07666666666666666,0.013650485127640895,0.1
29109,GOOGL,2016-03-29,0.8500735294117647,0.01,0.010102858606577775,0.1
29110,GOOGL,2016-03-29,0.8482352941176471,0.01,0.010149310880516125,0.1
29111,GOOGL,2016-03-29,0.8482352941176471,0.01,0.010463859135470094,-0.6
29112,GOOGL,2016-03-29,0.8408823529411765,0.01,0.01009025013222308,0.1
29113,GOOGL,2016-03-29,0.8408823529411765,0.01,0.011428075621647556,0.1
29114,GOOGL,2016-03-29,0.8372058823529411,0.16555555555555557,0.01010219500266437,0.6
29115,GOOGL,2016-03-29,0.8353676470588235,0.05444444444444445,0.010447932641548374,0.1
29116,GOOGL,2016-03-29,0.8298529411764706,0.01,0.01048841248026608,0.1
29117,GOOGL,2016-03-29,0.8225,0.05444444444444445,0.021342981691831634,0.1
29118,GOOGL,2016-03-29,0.8188235294117647,0.01,0.010165237374437844,0.1
29119,GOOGL,2016-03-29,0.7949264705882353,0.01,0.01011812149658609,0.1
29120,GOOGL,2016-03-29,0.7930882352941176,0.01,0.010574017385095323,0.1
29121,GOOGL,2016-03-29,0.7710294117647059,0.01,0.010574017385095323,0.1
29122,GOOGL,2016-03-29,0.7636764705882353,0.05444444444444445,0.010773098559116822,-0.6
29123,GOOGL,2016-03-29,0.76,0.01,0.010637059756868798,0.1
29124,GOOGL,2016-03-29,0.76,0.01,0.010637059756868798,0.1
29125,GOOGL,2016-03-29,0.7563235294117647,0.01,0.014032057377848768,0.1
29126,GOOGL,2016-03-29,0.7563235294117647,0.01,0.014032057377848768,0.1
29127,GOOGL,2016-03-29,0.7563235294117647,0.03222222222222222,0.01239361931565183,0.1
29128,GOOGL,2016-03-29,0.7434558823529411,0.01,0.011420112374686696,0.1
29129,GOOGL,2016-03-29,0.7434558823529411,0.01,0.011420112374686696,0.1
29130,GOOGL,2016-03-29,0.7434558823529411,0.01,0.011420112374686696,0.1
29131,GOOGL,2016-03-29,0.7397794117647059,0.01,0.010746554402580624,0.1
29132,GOOGL,2016-03-29,0.7397794117647059,0.01,0.010562072514654033,0.1
29133,GOOGL,2016-03-29,0.7397794117647059,0.16555555555555557,0.010577999008575754,0.6
29134,GOOGL,2016-03-29,0.7379411764705882,0.01,0.010445278225894753,0.6
29135,GOOGL,2016-03-29,0.7379411764705882,0.01,0.010059060748293045,0.1
29136,GOOGL,2016-03-29,0.7324264705882353,0.01,0.01018050026444616,0.1
29137,GOOGL,2016-03-29,0.7158823529411765,0.01,0.013983614292170203,0.1
29138,GOOGL,2016-03-29,0.7103676470588235,0.01,0.010189127115320424,0.1
29139,GOOGL,2016-03-29,0.7048529411764706,0.01,0.011282746364611861,0.1
29140,GOOGL,2016-03-29,0.7048529411764706,0.16555555555555557,0.010117457892672686,0.1
29141,GOOGL,2016-03-29,0.6975,0.07666666666666666,0.01163047481523608,0.1
29142,GOOGL,2016-03-29,0.6975,0.01,0.010189127115320424,0.1
29143,GOOGL,2016-03-29,0.6975,0.07666666666666666,0.014253701084926039,0.1
29144,GOOGL,2016-03-29,0.6975,0.01,0.01024818786361347,0.1
29145,GOOGL,2016-03-29,0.6956617647058824,0.01,0.010189127115320424,0.1
29146,GOOGL,2016-03-29,0.6956617647058824,0.07666666666666666,0.010339101599749954,0.1
29147,GOOGL,2016-03-29,0.6901470588235294,0.01,0.010263450753621785,0.1
29148,GOOGL,2016-03-29,0.6901470588235294,0.16555555555555557,0.010004645227393836,0.6
29149,GOOGL,2016-03-29,0.6883088235294118,0.07666666666666666,0.0133193467748518,0.1
29150,GOOGL,2016-03-29,0.6883088235294118,0.05444444444444445,0.0133193467748518,-1.0
29151,GOOGL,2016-03-29,0.6883088235294118,0.05444444444444445,0.01614298142639007,-1.0
29152,GOOGL,2016-03-29,0.6846323529411765,0.01,0.013828330976433434,0.1
29153,GOOGL,2016-03-29,0.6699264705882353,0.16555555555555557,0.010076314450041575,0.6
29154,GOOGL,2016-03-29,0.6680882352941176,0.07666666666666666,0.010675548783846288,0.1
29155,GOOGL,2016-03-29,0.6680882352941176,0.03222222222222222,0.014926595453118707,0.6
29156,GOOGL,2016-03-29,0.6625735294117647,0.16555555555555557,0.03792777069564934,0.6
29157,GOOGL,2016-03-29,0.6607352941176471,0.01,0.010093568151790105,0.1
29158,GOOGL,2016-03-29,0.6570588235294118,0.01,0.01,0.1
29159,GOOGL,2016-03-29,0.6570588235294118,0.01,0.010401480367610023,0.1
29160,GOOGL,2016-03-29,0.6515441176470589,0.01,0.010170546205745085,0.1
29161,GOOGL,2016-03-29,0.6515441176470589,0.01,0.012273507007325523,0.1
29162,GOOGL,2016-03-29,0.6515441176470589,0.01,0.02389188432322023,0.1
29163,GOOGL,2016-03-29,0.6460294117647059,0.16555555555555557,0.014919959413984656,0.6
29164,GOOGL,2016-03-29,0.6441911764705882,0.16555555555555557,0.010024553344795985,0.1
29165,GOOGL,2016-03-29,0.6386764705882353,0.01,0.013719499934635015,0.1
29166,GOOGL,2016-03-29,0.6386764705882353,0.16555555555555557,0.013719499934635015,0.1
29167,GOOGL,2016-03-29,0.6331617647058824,0.16555555555555557,0.01028402247493734,0.1
29168,GOOGL,2016-03-29,0.6313235294117647,0.16555555555555557,0.010209698836635979,0.1
