Date,Open,High,Low,Close,Adj Close,Volume
2017-09-01,957.469971,958.330017,950.280029,951.98999,951.98999,1042900
2017-09-05,946.859985,951.390015,935.599976,941.47998,941.47998,1457400
2017-09-06,943.869995,944.5,932.679993,942.02002,942.02002,1391500
2017-09-07,944.25,950.5,937.530029,949.890015,949.890015,1116600
2017-09-08,949.700012,950.700012,940.01001,941.409973,941.409973,999900
2017-09-11,947.200012,952.679993,941.0,943.289978,943.289978,1337400
2017-09-12,946.919983,948.090027,937.5,946.650024,946.650024,1284800
2017-09-13,945.5,952.849976,944.73999,950.440002,950.440002,1095400
2017-09-14,946.0,948.030029,938.359985,940.130005,940.130005,1427400
2017-09-15,940.090027,941.75,931.25,935.289978,935.289978,1994300
2017-09-18,935.01001,936.859985,925.400024,929.75,929.75,1473700
2017-09-19,933.409973,937.940002,926.659973,936.859985,936.859985,1242700
2017-09-20,937.72998,950.0,937.5,947.539978,947.539978,2004000
2017-09-21,948.130005,952.799988,939.380005,947.549988,947.549988,1370700
2017-09-22,942.77002,950.0,940.840027,943.26001,943.26001,1074800
2017-09-25,939.450012,939.75,924.51001,934.280029,934.280029,1873400
2017-09-26,936.690002,944.080017,935.119995,937.429993,937.429993,1672700
2017-09-27,942.73999,965.429993,941.950012,959.900024,959.900024,2334600
2017-09-28,956.25,966.179993,955.549988,964.809998,964.809998,1400900
2017-09-29,966.0,975.809998,966.0,973.719971,973.719971,2031100
2017-10-02,975.650024,977.73999,961.950012,967.469971,967.469971,1539100
