AAPL,2016-06-15,4,1798
AAPL,2016-06-15,0,222
AAPL,2016-06-15,0,16177
AAPL,2016-06-15,0,87
AAPL,2016-06-15,0,387
AAPL,2016-06-15,0,6795
AAPL,2016-06-15,1,1848
AAPL,2016-06-15,0,2
AAPL,2016-06-15,0,87
AAPL,2016-06-15,1,396
AAPL,2016-06-15,1,908
AAPL,2016-06-15,2,145
AAPL,2016-06-15,0,94
AAPL,2016-06-15,3,82
AAPL,2016-06-15,0,52
AAPL,2016-06-15,1,1263
AAPL,2016-06-15,0,2
AAPL,2016-06-15,1,64
AAPL,2016-06-15,1,1520
AAPL,2016-06-15,0,77
AAPL,2016-06-15,0,1875
AAPL,2016-06-15,0,5753
AAPL,2016-06-15,0,201
AAPL,2016-06-15,0,11
AAPL,2016-06-15,1,16470
AAPL,2016-06-15,141,1092
AAPL,2016-06-15,1,64
AAPL,2016-06-15,5,37
AAPL,2016-06-15,0,87
AAPL,2016-06-15,5,414
AAPL,2016-06-15,5,267
AAPL,2016-06-15,5,357
AAPL,2016-06-15,0,1616
AAPL,2016-06-15,1,91
AAPL,2016-06-15,5,1165
AAPL,2016-06-15,0,113
AAPL,2016-06-15,0,607
AAPL,2016-06-15,0,2226
AAPL,2016-06-15,0,119230
AAPL,2016-06-15,0,77
AAPL,2016-06-15,0,402
AAPL,2016-06-15,0,373
AAPL,2016-06-15,2,111
AAPL,2016-06-15,0,60
AAPL,2016-06-15,0,1520
AAPL,2016-06-15,2,62801
AAPL,2016-06-15,11,40
AAPL,2016-06-15,2,754
AAPL,2016-06-15,2,2755
AAPL,2016-06-15,4,2502
AAPL,2016-06-15,0,4588
AAPL,2016-06-15,11,874
AAPL,2016-06-15,11,484
AAPL,2016-06-15,11,1310
AAPL,2016-06-15,0,458
AAPL,2016-06-15,0,175
AAPL,2016-06-15,0,255
AAPL,2016-06-15,0,531
AAPL,2016-06-15,0,1174
AAPL,2016-06-15,11,333
AAPL,2016-06-15,11,576
AAPL,2016-06-15,0,2226
AAPL,2016-06-15,0,2226
AAPL,2016-06-15,0,2226
AAPL,2016-06-15,11,33
AAPL,2016-06-15,1,1885
AAPL,2016-06-15,11,2140
AAPL,2016-06-15,0,1520
AAPL,2016-06-15,11,36
AAPL,2016-06-15,0,1885
AAPL,2016-06-15,11,91
AAPL,2016-06-15,0,2663
AAPL,2016-06-15,11,619314
AAPL,2016-06-15,0,5753
AAPL,2016-06-15,0,60
AAPL,2016-06-15,10,2904
AAPL,2016-06-15,1,967
AAPL,2016-06-15,1,790
AAPL,2016-06-15,1,16202
AAPL,2016-06-15,0,810
AAPL,2016-06-15,205,1
AAPL,2016-06-15,0,1027
AAPL,2016-06-15,205,106
AAPL,2016-06-15,1,6386
AAPL,2016-06-15,2,28484
AAPL,2016-06-15,2,28403
AAPL,2016-06-15,2,28484
AAPL,2016-06-15,3,28484
AAPL,2016-06-15,1,1568
AAPL,2016-06-15,2,1199
AAPL,2016-06-15,2,1199
AAPL,2016-06-15,2,1199
AAPL,2016-06-15,3,1199
AAPL,2016-06-15,1,12
AAPL,2016-06-15,0,5753
AAPL,2016-06-15,205,5
AAPL,2016-06-15,1,3067
AAPL,2016-06-15,205,86
AAPL,2016-06-15,205,102
AAPL,2016-06-15,205,
AAPL,2016-06-15,1,339
AAPL,2016-06-15,0,946
