created,text,retweet_count,followers
2017-10-30T18:50:56.000Z,"@Apple if ios11 issues are not fixed my next phone will definitely be #pixel never expected so many issues frm an a… https://t.co/ybAJWXb1tZ @Apple this shit is terrible. For all the good things i experienced with apple over the years, last few weeks were terrible.",0,145
2017-10-30T18:54:50.000Z,@Apple is there a way to roll back to ios10? Something? Pls. https://t.co/aZshPuTwuI @Apple if ios11 issues are not fixed my next phone will definitely be #pixel never expected so many issues frm an a… https://t.co/ybAJWXb1tZ,0,145
2017-10-30T18:55:21.000Z,#nowplaying on the #pixel2 loves #strangerthings,0,6
2017-10-30T18:55:21.000Z,#nowplaying on the #pixel2 loves #strangerthings,0,233
2017-10-30T19:15:37.000Z,@Google waiting for callback due to a malfunctioning #pixel phone which keeps restartingunable to hear or be heard when calling #donotbuy,0,209
2017-10-30T20:57:10.000Z,"Reading / watching a few phone comparison photos, it's fairly clear the #pixel2 is a clear winner in terms of photo quality.",0,745
2017-10-30T20:58:15.000Z,"It sucks for low light video though 🤷‍♂️ https://t.co/3KMeWixBhX Reading / watching a few phone comparison photos, it's fairly clear the #pixel2 is a clear winner in terms of photo quality.",0,745
2017-10-30T21:15:50.000Z,Server Migrated! #starkinesis - https://t.co/h9hxiGYs7z Try it! #pixel #gamedev #indiedev https://t.co/DEIkmOiKnW,0,333
2017-10-30T21:18:46.000Z,Want #cool #retro #stickers? #download #PixelDash! #pixel #pixels #games #Appstore #FREE #iOS11… https://t.co/EbrcTzuc8o,0,799
2017-10-30T22:07:58.000Z,"Enemy design 

 #gamedev #pixelart #pixel  #art #indiedev #videogames #gameart https://t.co/nUsEYAVYBB",0,790
2017-10-30T22:14:15.000Z,"Omegachaino: Enemy design  #gamedev #pixelart #pixel  #art #indiedev #videogames #gameart https://t.co/zGPrJZc6ip Enemy design 

 #gamedev #pixelart #pixel  #art #indiedev #videogames #gameart https://t.co/nUsEYAVYBB",0,3687
2017-10-30T22:15:49.000Z,Server Upgraded! #starkinesis - https://t.co/h9hxiGYs7z Try it! #pixel #androiddev #apps https://t.co/DEIkmOiKnW,0,332
2017-10-30T22:18:18.000Z,"Omegachaino: Enemy design  #gamedev #pixelart #pixel  #art #indiedev #videogames #gameart https://t.co/GxQaiBmMnY Enemy design 

 #gamedev #pixelart #pixel  #art #indiedev #videogames #gameart https://t.co/nUsEYAVYBB",0,4005
2017-10-30T22:37:36.000Z,@jhamby @xfinitymobile I am paying for @XFINITY and I have preordered the #pixel2 but I don’t want to wait until #thanksgiving for it.,0,175
