created,text,retweet_count,followers
2017-10-30T08:48:30.000Z,"$AMZN +12.2%
$MSFT +7%
$INTC +6.8%
$TWTR +5.8%
$FB +3.9%
$AAPL +2.9

ok",0,9
2017-10-30T08:55:03.000Z,My sister and I just received our versions of #HitRefresh by @satyanadella. #MSFT Book Club Aslaner is starting ton… https://t.co/pyQEd7j2rB,0,1679
2017-10-30T09:00:54.000Z,Microsoft $MSFT Partners Karnataka Government to Bring AI to Agriculture. See more: https://t.co/UUjQfnbJMw #Shares,0,627
2017-10-30T09:01:00.000Z,#Microsoft #Events $MSFT Technical Deep Dive on Microsoft 365 Deployment https://t.co/BqCNLTBpzE Translated using #MicrosoftFlow,0,422
2017-10-30T09:08:43.000Z,"New 52 Week Highs Scan 10 27 2017

https://t.co/xSRTiO36Ah

$INTC $MSFT $TWTR $FB $AMZN $FSLR $NVDA $HUN $AMAT $SQ",0,2631
2017-10-30T09:13:42.000Z,RT @ITEmpathy: Microsoft #shares just hit an all-time high. #MSFT #Trade https://t.co/zsgiLp5bWu,27,1268
2017-10-30T09:16:17.000Z,"friday´s reative volume in the #NDX :
#AMZN 450%
#MSFT 354%
#GOOGL 294%
#FB 235%
#AAPL 213% https://t.co/wGGNWzBDEE",0,7907
2017-10-30T09:30:05.000Z,"$MSFT $83.81 (+6.41%) is a top mover.  Try our #sentiment analysis tool free: https://t.co/GvMdw1aUkZ 
#trading",0,1479
2017-10-30T09:43:41.000Z,U.S. stocks set to catch their breath after last week’s blowout gains https://t.co/cHFMvxoy3S $AMZN $GOOGL $MSFT $BIDU $EXPE $FB $UAA $MA,0,7993
2017-10-30T09:46:40.000Z,"Access curated tweets- high relevancy, less spam- US Tech Giants https://t.co/kdZSg01UFl $AAPL $GOOGL $MSFT $FB",0,850
2017-10-30T10:00:36.000Z,Weekly Dow #Stocks Performance #DD #BA #MSFT #CAT #IBM #JPM #CSCO #INTC #UNH #V #GS #HD #DIS #AAPL #AXP #MCD more@ https://t.co/TvzJfd0RGT,0,988
2017-10-30T10:00:52.000Z,Weekly Dow #Stocks Trend $DD $MSFT $CAT $INTC $MRK $BA $CSCO $AAPL $IBM $JPM $MCD $UNH $DIS $V $HD $TRV $AXP  @ https://t.co/TvzJfd0RGT,0,988
2017-10-30T10:01:08.000Z,Weekly S&amp;P100 #Stocks Performance $DOW $DD $FDX $BA $MSFT $CAT $TXN $FOXA $FB $IBM $JPM $GD $PCLN $USB  more@ https://t.co/cKkr8csQUU,0,988
2017-10-30T10:01:23.000Z,Weekly S&amp;P100 #Stocks Trend $DOW $DD $FDX $MSFT $CAT $FOXA $GD $PCLN $CMCSA $HAL $INTC $UPS $MRK $USB $EMR  @ https://t.co/cKkr8csQUU,0,988
2017-10-30T10:10:02.000Z,RT @rimisback: BlackBerry's 7Pillar Recommendation for Automotive Cybersecurity https://t.co/mToyZIqgF6 $BB @technology @WSJ $AAPL $MSFT $G…,27,109
2017-10-30T10:12:27.000Z,$MSFT https://t.co/ZTIcvY9i8x Pot. cont. Uptrend INTRAWEEK 60m-15m-4m combo chart #Microsoft #Stocks https://t.co/1Mm7L1uuDx,0,549
2017-10-30T10:18:55.000Z,Quantitative Value - A Great Investing Approach: https://t.co/CjyjfJdDm9 $SPY $QQQ $IWM $AAPL $IBM $INTC $AMZN $MSFT $NFLX $TSLA $KO $PEP,0,906
2017-10-30T10:23:12.000Z,Analyst Activity – Stifel Nicolaus Raises Its Price Target On Microsoft Corporation (NASDAQ:MSFT) to $90.00 https://t.co/cozbP7xyDO $MSFT,0,25800
2017-10-30T11:00:01.000Z,$MSFT Microsoft's latest results will put to rest any rumors about discontinuing its Surface hybrid laptop line. https://t.co/w70bChW3Wr,0,584
2017-10-30T11:00:11.000Z,"Stay ahead with Nasdaq 100 news, views &amp; analysis $MSFT $AAPL $GOOG https://t.co/4fbMrvn65o https://t.co/mU3zOfDWjv",0,850
2017-10-30T11:00:44.000Z,RT @CNBCFastMoney: Tech is taking over $AMZN $MSFT $GOOGL $INTC added a combined market cap of $151B after reporting earnings yesterday htt…,29,63
2017-10-30T11:00:59.000Z,#Microsoft #Events $MSFT Technical Deep Dive on #Microsoft365 Deployment https://t.co/hmZhJDWemt https://t.co/bP4M9R7Sxf,0,108920
2017-10-30T11:03:58.000Z,"Gap Up Scan 10 27 2017

https://t.co/cMUvdjXUCI

$INTC $MSFT $AAPL $FB $SWN $BABA $FXI $AMZN $FSLR $XLK",0,2632
2017-10-30T11:04:59.000Z,"$AMZN $GOOGL $INTC $MSFT $CTB:

As Central Banks Normalize Policy, Volatility Will Rise:

https://t.co/46Fggm1WH7",0,1357
2017-10-30T11:10:12.000Z,"$MSFT watch for it to trend lower, if it slips below 83.",0,4280
2017-10-30T11:12:08.000Z,$MSFT,0,44
2017-10-30T11:14:42.000Z,So you could get a $300M contract by cold calling via $MSFT #LinkedIn 🤓🤑🙄,0,426
2017-10-30T11:27:11.000Z,I wonder how much of the Friday love train was painful short covering vs true believer investing...  $AMZN $INTC $MSFT $GOOG $GOOGL,0,2281
2017-10-30T11:27:55.000Z,I though the Friday RTH close on $MSFT most interesting... (quite aware of the gap from the thursday close),0,2281
2017-10-30T11:29:02.000Z,https://t.co/efZzPtmj1k $MSFT #MICROSOFT #WINDOWS,0,105060
2017-10-30T11:29:02.000Z,https://t.co/YSR6Bntd9M $MSFT #MICROSOFT #WINDOWS,0,8516
2017-10-30T11:30:28.000Z,"RT @seeitmarket: Tech Earnings Blowout: Time To Take Profits? - https://t.co/IPV6NTpGJu   blog by @MarkNewtonCMT

$AMZN $MSFT $FSLR $GOOGL…",27,13694
2017-10-30T11:30:29.000Z,Microsoft Buys Land for Data Center Campus in San Jose. #datacenter #siliconvalley $MSFT https://t.co/cn6jydnlIW,0,3387
2017-10-30T11:30:30.000Z,Microsoft Buys Land for Data Center Campus in San Jose. #datacenter #siliconvalley $MSFT https://t.co/u7v7nMiKVx,0,2282
2017-10-30T11:31:04.000Z,"$MSFT $SAP $ORCL:

Microsoft: The Case For $1 Trillion:

https://t.co/YmoKg985du",0,815
2017-10-30T11:33:47.000Z,"RT SeekingAlpha ""https://t.co/UzvKSByc2E $MSFT #MICROSOFT #WINDOWS""",0,17202
2017-10-30T11:33:59.000Z,RT SeekingAlpha: https://t.co/xxaDFqBEPh $MSFT #MICROSOFT #WINDOWS,0,7977
2017-10-30T11:38:01.000Z,Microsoft $MSFT Holder Harding Loevner LP Decreased Its Stake by $4.20 Million as Valuation Rose ...,0,53
2017-10-30T11:42:05.000Z,RT @SAlphaTech: https://t.co/YSR6Bntd9M $MSFT #MICROSOFT #WINDOWS,27,200
2017-10-30T11:42:46.000Z,"As Central Banks Normalize Policy, Volatility Will Rise $SPX $RUT $INTC $AMZN $GOOGL $MSFT $FDC $MDLZ $L $D $SRE $DO https://t.co/wITABBvef7",0,4467
2017-10-30T11:46:53.000Z,Track curated news and tweets for multiple tickers- US Tech Giants https://t.co/kdZSg01UFl $AAPL $GOOG $MSFT $FB,0,851
2017-10-30T11:47:27.000Z,Bought 10 shares of $MSFT in 1999 https://t.co/kpmaDLeQxa We all remember our first trade https://t.co/bSibEXiSL2,0,3
2017-10-30T12:00:01.000Z,https://t.co/f3hgbX1VFY $AMZN $GOOG $GOOGL $MSFT $INTC $AAPL,0,8517
2017-10-30T12:02:22.000Z,Looking for signals in the #charts? $MSFT $GOOGL classic exhaustion gaps. #blowofftop! #correction #OutOfGas,0,7664
2017-10-30T12:05:07.000Z,"$AMZN $GOOGL $INTC $MSFT $CTB:

As Central Banks Normalize Policy, Volatility Will Rise: Market Recon:

https://t.co/Iey4SgfndE",0,2019
2017-10-30T12:05:08.000Z,BlackBerry Automotive Cybersecurity https://t.co/mToyZIqgF6 $BB $AAPL $MSFT $GOOGL $NVDA $INTC @technology @WSJ @BBC @CNN @QNX_Auto,0,109
2017-10-30T12:10:29.000Z,#Trump #Tax Plan: The Likely Beneficiaries $AAPL $MSFT $GOOG $ORCL $RUT $LUV $HD https://t.co/aHxNcbj44X,0,222
2017-10-30T12:17:40.000Z,RT @askslim: Looking for signals in the #charts? $MSFT $GOOGL classic exhaustion gaps. #blowofftop! #correction #OutOfGas,26,1114
2017-10-30T12:20:40.000Z,"Wowy, wowy, wow! @googleCloud hit it out of the ballpark. What can I say both giants #GOOG &amp; #MSFT have created ama… https://t.co/frPa0ftwz0 Security that scales with your business https://t.co/vKCn2L2aql",0,1670270
2017-10-30T12:25:34.000Z,$MNI Mcclatchy $15.05 ask #premarket looks oversold here undervalued #realnews  $NWSA $T $FB $SNE $AAPL $MSFT $AMZN… https://t.co/9bfZ0UpvsX,0,1637
2017-10-30T12:28:31.000Z,$MNI Mcclatchy $11.05 ask #premarket looks oversold here undervalued #realnews  $NWSA $T $FB $SNE $AAPL $MSFT $AMZN… https://t.co/39f3ok8itB,0,1637
2017-10-30T12:29:25.000Z,Microsoft $MSFT Holder Wms Partners Decreased Its Stake by $1.83 Million as Share Value Rose ...,0,53
2017-10-30T12:33:25.000Z,"futurez down, buy da bubble $AMZN $INTC $MSFT $FB $OSTK",0,810
2017-10-30T12:34:01.000Z,"$AAPL $MSFT Chinas New, Severe Curbs on the Internet Leave Little Left to Censor via https://t.co/jURZDymPXI",0,194
2017-10-30T12:34:23.000Z,"$MSFT technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, New 52 Week Closing Hig... https://t.co/Yyudx8m9VA",0,1620
2017-10-30T12:35:20.000Z,"MUST READ!║Microsoft Announces Death Of The Windows Phone, And May as Well Kill The Surface $MSFT https://t.co/aAlvaH4XMg 10/09/2017",0,79707
2017-10-30T12:36:15.000Z,"RT @politicalHEDGE: MUST READ!║Microsoft Announces Death Of The Windows Phone, And May as Well Kill The Surface $MSFT https://t.co/aAlvaH4X…",27,14640
2017-10-30T12:44:25.000Z,"RT @syeddoha: Wowy, wowy, wow! @googleCloud hit it out of the ballpark. What can I say both giants #GOOG &amp; #MSFT have created ama…  Security that scales with your business https://t.co/vKCn2L2aql",32,4
2017-10-30T12:52:13.000Z,$MRK $MSFT $AMD chart https://t.co/xQfru8Is4L,0,5484
2017-10-30T12:57:35.000Z,Q2 2018 EPS Estimates for Microsoft Corporation Lifted by Analyst $MSFT https://t.co/XtPuAtlKOS,0,213
2017-10-30T12:59:12.000Z,"Microsoft $MSFT Stock Rose While Guardian Capital Advisors LP Decreased Its Stake by $421,669 ...",0,41
2017-10-30T13:00:11.000Z,Q2 2018 EPS Estimates for Microsoft Corporation Lifted by Analyst $MSFT https://t.co/Ye1YBzV6l1,0,257
2017-10-30T13:01:40.000Z,#Quantamize Morning #Quant Ride featuring $AMAT $ORCL $MSFT $IDCC $IWM $SPY $VIX #XRT #stocks #options #investors https://t.co/S7flZw29e3,0,1220
2017-10-30T13:02:08.000Z,Q2 2018 EPS Estimates for Microsoft Corporation Lifted by Analyst $MSFT https://t.co/N9VHR0xagA,0,1009
2017-10-30T13:02:15.000Z,Q2 2018 EPS Estimates for Microsoft Corporation Lifted by Analyst $MSFT https://t.co/YdSQqxfE8b #acn,0,5019
2017-10-30T13:02:25.000Z,Q2 2018 EPS Estimates for Microsoft Corporation Lifted by Analyst $MSFT https://t.co/Q9BWmwBBFN,0,439
2017-10-30T13:07:04.000Z,Q2 2018 EPS Estimates for Microsoft Corporation Lifted by Analyst $MSFT https://t.co/yXzhonTzeF,0,6896
2017-10-30T13:08:32.000Z,"$MSFT $DRYS $DYN $HMNY $UVXY $TRXC 
stepping up my game! GLTA 
#moneymonday",0,72
2017-10-30T13:14:24.000Z,"RT @seeitmarket: Tech Earnings Blowout: Time To Take Profits? - https://t.co/IPV6NTpGJu   blog by @MarkNewtonCMT

$AMZN $MSFT $FSLR $GOOGL…",27,265
2017-10-30T13:14:58.000Z,"$CGUD #RaspberryPi #Retweet
https://t.co/OyfKYft5DA
$ALRM $BITLF $DIGTF $ISGN $AWRE $IWSY $EVBG $IDN $MJDS $MSFT… https://t.co/8d9h1x8ezD",0,1036
2017-10-30T13:17:45.000Z,"RT @EmergingGrowth1: $CGUD #RaspberryPi #Retweet
https://t.co/OyfKYft5DA
$ALRM $BITLF $DIGTF $ISGN $AWRE $IWSY $EVBG $IDN $MJDS $MSFT… ",29,1036
2017-10-30T13:17:52.000Z,"RT @EmergingGrowth1: $CGUD #RaspberryPi #Retweet
https://t.co/OyfKYft5DA
$ALRM $BITLF $DIGTF $ISGN $AWRE $IWSY $EVBG $IDN $MJDS $MSFT… ",29,5661
