Id,Company,Date,UnixTS,Retweets,Followers,Sentiments,Open,Close
29087,GOOGL,2016-03-29,1.01,0.01,0.010652986250790518,0.1,753.679993,765.8900150000001
29088,GOOGL,2016-03-29,0.9989705882352942,0.01,0.010322511501914829,0.6,753.679993,765.8900150000001
29089,GOOGL,2016-03-29,0.9879411764705882,0.01,0.010466513551123715,-0.6,753.679993,765.8900150000001
29090,GOOGL,2016-03-29,0.9842647058823529,0.01,0.010043134254371325,0.1,753.679993,765.8900150000001
29091,GOOGL,2016-03-29,0.9677205882352942,0.29888888888888887,0.01008228688526222,0.1,753.679993,765.8900150000001
29092,GOOGL,2016-03-29,0.9640441176470589,0.01,0.010093568151790105,0.1,753.679993,765.8900150000001
29093,GOOGL,2016-03-29,0.9585294117647059,0.01,0.01567978589483338,0.1,753.679993,765.8900150000001
29094,GOOGL,2016-03-29,0.9566911764705882,0.01,0.010401480367610023,0.1,753.679993,765.8900150000001
29095,GOOGL,2016-03-29,0.9530147058823529,0.01,0.012273507007325523,0.1,753.679993,765.8900150000001
29096,GOOGL,2016-03-29,0.9493382352941176,0.01,0.010368963775853179,0.1,753.679993,765.8900150000001
29097,GOOGL,2016-03-29,0.9493382352941176,0.45444444444444443,0.01008228688526222,0.1,753.679993,765.8900150000001
29098,GOOGL,2016-03-29,0.9438235294117647,0.01,0.010499693746793964,0.1,753.679993,765.8900150000001
29099,GOOGL,2016-03-29,0.9383088235294118,0.03222222222222222,0.011110209347126563,0.1,753.679993,765.8900150000001
29100,GOOGL,2016-03-29,0.9144117647058824,0.01,0.01004777948176516,0.1,753.679993,765.8900150000001
29101,GOOGL,2016-03-29,0.9070588235294118,0.01,0.0105574272872602,0.6,753.679993,765.8900150000001
29102,GOOGL,2016-03-29,0.8997058823529411,0.01,0.010929709082680403,0.1,753.679993,765.8900150000001
29103,GOOGL,2016-03-29,0.8941911764705882,0.45444444444444443,0.01004114344263111,0.1,753.679993,765.8900150000001
29104,GOOGL,2016-03-29,0.8905147058823529,0.03222222222222222,0.010502348162447583,-0.6,753.679993,765.8900150000001
